id,name,sector,subsector,country,assetType,sourceType,longitude,latitude,srid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,gadm_id
3640193,Ichinomiya/Owari-ichinomiya City,transportation,road-transportation,JPN,,gadm-aggregation,136.8021952849142,35.3075332650001,4326,co2e_100yr,1022377.8570907679,0.00024046212024059893,t of CO2e_100yr per Vehicle*km ,4251721044.744213,Vehicle*km ,5639.928321339623,km,753860.8298720939,2025,JPN.1_1
3640388,Toyohashi City,transportation,road-transportation,JPN,,gadm-aggregation,137.4023442497657,34.74944850000011,4326,co2e_100yr,905585.9316350741,0.0002398048405056541,t of CO2e_100yr per Vehicle*km ,3776345505.47666,Vehicle*km ,6866.348001504537,km,549978.7521181852,2025,JPN.1_1
1932171,Nagoya,transportation,domestic-shipping,JPN,,point-source,136.837375,35.029961,4326,co2e_100yr,856977.029152472,0.24906043722071045,t of CO2e_100yr per Nautical miles (nmi),3440839.6560913557,Nautical miles (nmi),81166.0,voyages and stays,42.392623217743335,2025,JPN.1_1
25452329,Tokai Kyodo power station,power,electricity-generation,JPN,coal,point-source,136.8659,35.0273,4326,co2e_100yr,696880.0,0.9500231752869646,t of CO2e_100yr per MWh,733540.0,MWh,149.0,MW,4923.087248322147,2025,JPN.1_1
3640330,Okazaki City,transportation,road-transportation,JPN,,gadm-aggregation,137.2613750664356,34.94796943750015,4326,co2e_100yr,635233.5498450598,0.00023959269415998883,t of CO2e_100yr per Vehicle*km ,2651306009.4431777,Vehicle*km ,5029.514432480447,km,527149.4982340892,2025,JPN.1_1
3640226,Kasugai City,transportation,road-transportation,JPN,,gadm-aggregation,137.0171981119249,35.27388000550013,4326,co2e_100yr,558469.8976217192,0.00023974583614263934,t of CO2e_100yr per Vehicle*km ,2329424805.0650253,Vehicle*km ,3048.561403949196,km,764106.2443575583,2025,JPN.1_1
3168247,Chubu Centrair International Airport,transportation,international-aviation,JPN,international,point-source,136.804993,34.858398,4326,co2e_100yr,508729.99501465703,3.1848478700000005,t of CO2e_100yr per t of fuel,159734.4726593352,t of fuel,29825.0,flights,5.355724146163796,2025,JPN.1_1
3640194,Inazawa City,transportation,road-transportation,JPN,,gadm-aggregation,136.75959124394188,35.235523223500095,4326,co2e_100yr,458813.6962920226,0.00024093244138380534,t of CO2e_100yr per Vehicle*km ,1904325103.1567495,Vehicle*km ,3233.826035486366,km,588876.7924618245,2025,JPN.1_1
3640273,Komaki City,transportation,road-transportation,JPN,,gadm-aggregation,136.9517811054452,35.29651451150008,4326,co2e_100yr,436191.788026753,0.0002399633940729858,t of CO2e_100yr per Vehicle*km ,1817743034.1482983,Vehicle*km ,1911.376830534051,km,951012.3828593283,2025,JPN.1_1
3640224,Kariya City,transportation,road-transportation,JPN,,gadm-aggregation,137.01417138906217,35.00828361550006,4326,co2e_100yr,359130.0703491177,0.0002394153704885394,t of CO2e_100yr per Vehicle*km ,1500029298.9388871,Vehicle*km ,2022.93204674762,km,741512.4503813992,2025,JPN.1_1
3640327,Anjō City,transportation,road-transportation,JPN,,gadm-aggregation,137.0707024898844,34.94726562450006,4326,co2e_100yr,355835.7392621032,0.00023983251157404408,t of CO2e_100yr per Vehicle*km ,1483684330.0631707,Vehicle*km ,2364.5970737488915,km,627457.5683674092,2025,JPN.1_1
3640390,Toyokawa City,transportation,road-transportation,JPN,,gadm-aggregation,137.37912276946878,34.849032377500116,4326,co2e_100yr,326358.3870854928,0.0002396884921540495,t of CO2e_100yr per Vehicle*km ,1361593892.7753775,Vehicle*km ,2244.954322792808,km,606512.9606207325,2025,JPN.1_1
447643,ATSUMI,power,electricity-generation,JPN,oil,point-source,137.0676,34.6543,4326,co2e_100yr,314010.0,0.6542965494249041,t of CO2e_100yr per MWh,479920.0,MWh,700.0,MW,685.6,2025,JPN.1_1
2796039,Toyohashi,transportation,international-shipping,JPN,,point-source,137.317941,34.719652,4326,co2e_100yr,310815.7243079734,0.2820607030001027,t of CO2e_100yr per Nautical miles (nmi),1101946.215839433,Nautical miles (nmi),692.0,voyages and stays,1592.4078263575623,2025,JPN.1_1
3640322,Nishio City,transportation,road-transportation,JPN,,gadm-aggregation,137.05961238131323,34.85803413450009,4326,co2e_100yr,308249.08248262433,0.0002399736215797589,t of CO2e_100yr per Vehicle*km ,1284512357.8725216,Vehicle*km ,2148.0585526263744,km,597987.5903764273,2025,JPN.1_1
3640304,Aisai City,transportation,road-transportation,JPN,,gadm-aggregation,136.69553204949966,35.17064094550014,4326,co2e_100yr,306800.9548560033,0.00024073393596351825,t of CO2e_100yr per Vehicle*km ,1274439989.6427443,Vehicle*km ,2336.9172953985603,km,545350.9168476538,2025,JPN.1_1
3640382,Tōkai City,transportation,road-transportation,JPN,,gadm-aggregation,136.8970612430722,35.01709938100014,4326,co2e_100yr,298597.1247560472,0.00023972627556937277,t of CO2e_100yr per Vehicle*km ,1245575288.0941005,Vehicle*km ,1250.2148585374848,km,996288.981520495,2025,JPN.1_1
3173153,Chubu Centrair International Airport,transportation,domestic-aviation,JPN,domestic,point-source,136.804993,34.858398,4326,co2e_100yr,253751.86297976406,3.18484787,t of CO2e_100yr per t of fuel,79674.72021819493,t of fuel,46475.0,flights,1.7143565404668084,2025,JPN.1_1
3640367,Tahara City,transportation,road-transportation,JPN,,gadm-aggregation,137.24227404533178,34.6546895000001,4326,co2e_100yr,244648.4169348118,0.0002397871586477495,t of CO2e_100yr per Vehicle*km ,1020273221.9459823,Vehicle*km ,3855.1638610920672,km,264651.0650929804,2025,JPN.1_1
