"rank","country_code","name","gas","emissionsQuantity","emissionsPerCapita","percentage","emissionsPercentChange"
193,"VIR","United States Virgin Islands","co2e_100yr",1427277.0977120507,13.428140913651808,0.0018768477595570178,13.267461296549635
194,"GRL","Greenland","co2e_100yr",1281699.216407986,22.738467834158033,0.0016854150512170749,18.39390414272317
195,"BES","Bonaire, Sint Eustatius and Saba","co2e_100yr",1155606.861408056,0,0.001519605514751976,-8.434221555239686
196,"BMU","Bermuda","co2e_100yr",1137517.5713680098,17.800691225263442,0.0014958183724107575,1.4335384364470163
197,"CYM","Cayman Islands","co2e_100yr",1125622.7798081506,17.12755294899803,0.0014801769017213544,5.492106926300897
198,"LCA","Saint Lucia","co2e_100yr",1083886.3715425644,5.9025882161454035,0.0014252941571787623,3.2050608654454598
199,"ATG","Antigua and Barbuda","co2e_100yr",1083437.035273462,11.06360831706419,0.0014247032867925533,9.551935913511974
200,"VUT","Vanuatu","co2e_100yr",1081840.6598713747,3.522190004464837,0.0014226040773246634,-16.266926357044618
201,"JEY","Jersey","co2e_100yr",1054115.476210136,0,0.0013861458808599985,-2.4777807192538237
202,"COM","Comoros","co2e_100yr",1050253.988782999,1.2077507216382328,0.001381068083396705,-3.5058693319705165
203,"MYT","Mayotte","co2e_100yr",960970.1847550529,0,0.0012636612337925182,9.675501262845525
204,"IMN","Isle of Man","co2e_100yr",883344.5061970033,10.388377389653346,0.001161584642555039,-0.559179124984394
205,"GGY","Guernsey","co2e_100yr",846190.3903838735,0,0.0011127275431634933,-4.47626533410193
206,"PLW","Palau","co2e_100yr",798678.2225986118,44.145380422209364,0.0010502497623580622,18.04426119942633
207,"SXM","Sint Maarten (Dutch part)","co2e_100yr",790208.7380648612,18.676642355586413,0.001039112518512943,17.949861544403227
208,"GIB","Gibraltar","co2e_100yr",767907.1135922661,22.792648291599125,0.001009786220211815,13.419937798406925
209,"TCA","Turks and Caicos Islands","co2e_100yr",749197.647084785,19.350112275551037,0.0009851835552118914,5.403039480193555
210,"GRD","Grenada","co2e_100yr",699378.4905806957,6.215647940176288,0.0009196721191931901,13.734122945592823
211,"WSM","Samoa","co2e_100yr",627191.3192735336,3.1610872399250725,0.0008247470825946282,-4.806395905321053
212,"MNP","Northern Mariana Islands","co2e_100yr",618717.8734980385,10.749654664038058,0.00081360462977663,-4.574306490487421
213,"VGB","British Virgin Islands","co2e_100yr",606710.7797210107,20.065177753117396,0.0007978154833730827,5.210830675107111
214,"ALA","Åland Islands","co2e_100yr",574764.435780375,0,0.0007558065250936187,20.954469716986313
215,"ATA","Antarctica","co2e_100yr",548183.3799631041,0,0.0007208528394096846,-22.398115158578044
216,"KNA","Saint Kitts and Nevis","co2e_100yr",544636.9851658896,10.239077025979276,0.0007161893839809339,-8.011990526517083
217,"VCT","Saint Vincent and the Grenadines","co2e_100yr",531767.7611387593,4.792989095142359,0.0006992665493601896,-9.088555876689217
218,"MAF","Saint Martin (French Part)","co2e_100yr",475258.8633230566,12.293615026851615,0.0006249582048695145,4.134119278279623
219,"SJM","Svalbard and Jan Mayen Islands","co2e_100yr",464468.0451330831,0,0.0006107684424357836,61.66593172724744
220,"FSM","Micronesia (Federated States of)","co2e_100yr",451116.2286972581,3.9220336173156043,0.0005932110061091128,12.330435865030312
221,"TON","Tonga","co2e_100yr",416172.0427500317,3.9374063857066113,0.00054725993100973,4.746699084807465
222,"DMA","Dominica","co2e_100yr",383496.55462699063,5.327006912350025,0.0005042921591772878,1.3246845332618464
223,"MHL","Marshall Islands","co2e_100yr",360211.84759823955,6.0852763387883835,0.000473673122208988,-21.15850400195893
224,"ASM","American Samoa","co2e_100yr",345044.8246553703,6.251151777367798,0.0004537287168268055,-21.40490055989872
225,"KIR","Kiribati","co2e_100yr",331001.1418262108,2.7711362609565056,0.0004352614866750084,-5.396959866964328
226,"STP","Sao Tome and Principe","co2e_100yr",286795.4891222366,1.3086064086321774,0.0003771317231061769,2.098325746595803
227,"AND","Andorra","co2e_100yr",249575.0877250111,3.2301182647383824,0.00032818745917580374,0.5746378033009562
228,"COK","Cook Islands","co2e_100yr",194045.07531832656,0,0.00025516633416740287,16.091271936709656
229,"AIA","Anguilla","co2e_100yr",166857.00424260407,0,0.0002194144326151778,1.679795764090998
230,"MCO","Monaco","co2e_100yr",145840.05536353932,3.716238287726514,0.00019177746325608902,-15.612328371712927
231,"BLM","Saint Barthélemy","co2e_100yr",132183.1299701735,0,0.00017381881327279956,-31.522663859024846
232,"SPM","Saint Pierre and Miquelon","co2e_100yr",129179.61239638957,0,0.00016986923316800916,2.4054518835116383
233,"SGS","South Georgia and the South Sandwich Islands","co2e_100yr",125531.13803264959,0,0.00016507154465583205,-1.4313129103903603
234,"IOT","British Indian Ocean Territory","co2e_100yr",114576.41911454494,0,0.00015066625524778356,25.42543091116626
235,"LIE","Liechtenstein","co2e_100yr",102753.18633293582,2.6943174956849205,0.00013511888326762933,1.7277764602519003
236,"TUV","Tuvalu","co2e_100yr",80114.81984812225,6.7939976126290915,0.00010534977432223728,-62.3740360074342
237,"SMR","San Marino","co2e_100yr",69100.21987790205,2.0360722457982807,0.00009086574223788359,-1.9471034270001273
238,"SHN","Saint Helena","co2e_100yr",61536.58779868386,0,0.00008091968064637459,-43.71229840770211
239,"NRU","Nauru","co2e_100yr",58599.883462564525,5.4088871573347355,0.00007705795893686045,-4.990210687451526
240,"WLF","Wallis and Futuna Islands","co2e_100yr",53510.030461616545,0,0.00007036487935433426,-0.06148505065620202
241,"MSR","Montserrat","co2e_100yr",37339.40102703699,0,0.00004910074664067363,-13.399537611679335
242,"CXR","Christmas Island","co2e_100yr",26646.075411990772,0,0.00003503918546591276,15.9306080430735
243,"NIU","Niue","co2e_100yr",18812.902291155286,0,0.000024738681488353406,-11.46298476949474
244,"NFK","Norfolk Island","co2e_100yr",16653.85706736624,0,0.000021899569729644116,21.70108287797928
245,"VAT","Holy See","co2e_100yr",11572.322418890471,0,0.000015217428654591835,9.175362141515716
246,"PCN","Pitcairn","co2e_100yr",5671.68698274063,0,0.00000745818245351894,-96.15837044956407
247,"CCK","Cocos (Keeling) Islands","co2e_100yr",4434.748093311459,0,0.000005831626554138531,-5.887113965182274
248,"TKL","Tokelau","co2e_100yr",2504.847008115769,0,0.000003293835866035621,2.3455801846173006
